unionSkill;skill
python;python
нейросети;nlp
машинное обучение;artificial intelligence
машинное обучение;искусственный интеллект
машинное обучение;machine learning
машинное обучение;машинное обучение
обработка естественного языка;обработка естественного языка
машинное обучение;data science
обработка естественного языка;language processing
нейросети;natural
опп;ооп
Большие данные;big data
spark;spark
scala;scala
java;java
c;c/c++
tensorflow;tensorflow
theano;theano
caffe;caffe
torch;torch
spark;sparkml
spark;spark streaming
azure;aws
google dataproc;google dataproc
azure;azure
mesos;mesos
azure;databricks
статистика;mathematical statistics
аналитика;analysis
нейросети;images processing
аналитика;data analysis
статистика;statistics
sql;sql
c;c#
аналитика;analytical skills
аналитика;анализ данных
python;pandas
unix;unix
git;git
r;r-studio
spark;hadoop
статистика;mathematics
c;c/с++
машинное обучение;data mining
машинное обучение;forecasting
python;numpy
статистика;математическая статистика
машинное обучение;machine learning algorithms
нейросети;deep learning
аналитика;data scientist
kaggle;kaggle
машинное обучение;ml
нейросети;keras
нейросети;scikit-learn
matplotlib;matplotlib
python;pytorch
аналитика;анализ трафика
аналитика;business intelligence systems
excel;ms excel
vba;vba
power bi;dax
power bi;power bi
аналитика;trading
аналитика;trading algorithms
аналитика;derivatives
машинное обучение;time series analysis
машинное обучение;robust methods
машинное обучение;reinforcement learning
нейросети;deep networks
нейросети;recurrent networks
нейросети;cudnn
машинное обучение;xgboost
c;c++
машинное обучение;quantitative research
nosql;nosql
хз;golang
хз;quant
хз;andas
sql;ms sql
go ;go
статистика;статистический анализ
sql;postgresql
etl;etl
spark;cloudera hadoop distribution
git;jupyterhub
git;gitlab ci/cd
python;iron python
sql;teradata
R;r studio
аналитика;zeppelin
машинное обучение;владение методами ml/ai
машинное обучение;анализ структурированной информации
машинное обучение;анализ неструктурированной информации
статистика;математика
sql;сложные sql запросы
manadgment;управление отделом
manadgment;повышения эффективности
R;r languange
нейросети;computer vision
impala;impala
sas;sas miner
spss;data mining: spss
mathlab;mathlab
tableau;tableau
статистика;stata
statistica;data mining: statistica
statistica;eviews
нейросети;neural networks
аналитика;sciense
машинное обучение;predictive modeling
машинное обучение;математическое моделирование
машинное обучение;research
машинное обучение;financial modelling
машинное обучение;mathematical programming
машинное обучение;alt software
машинное обучение;business intelligence
opencv;opencv
spss;spss modeler
sql;hypersonic sql
нейросети;синтез речи
нейросети;нейронный сети
нейросети;synthesis
нейросети;speech synthesis
нейросети;нейронные сети
нейросети;распознавание речи
нейросети;cuda
статистика;математический анализ
mathlab;matlab
машинное обучение;алгоритмы
аналитика;customer orientation
английский;английский язык
машинное обучение;mathematical analysis
manadgment;business communication
R;r,
обработка естественного языка;text mining
spark;hive
manadgment;управление проектами
manadgment;организаторские навыки
нейросети;natural language processing
sas;sas
sql;базы данных
машинное обучение;датамайнинг
аналитика;аналитика
excel;ms office
excel;пользователь пк
Большие данные;работа с большим объемом информации
sql;mysql
spark;mapreduce
spark;datascience
python;scipy
нейросети;компьютерное зрение
аналитика;научные исследования
аналитика;написание научный статей
аналитика;научная деятельность
manadgment;руководство коллективом
хз;rest
хз;api
статистика;probabilistic inference
статистика;вероятностные модели
git;bash
unix;linux
хз;dwh
sql;olap (online analytical processing)
машинное обучение;marchine learning
машинное обучение;iot
нейросети;cloud computing
английский;intermediate
статистика;математический и статистический анализ
python;python (pandas, numpy, matplotlib), sql
scala;data mining tools, scala
docker;docker
нейросети;cnn
машинное обучение;деревья решений
машинное обучение;анализ временных рядов
R;язык r
обработка естественного языка;компьютерная лингвистика
sql;transact-sql
нейросети;caffee
нейросети;tech lead
статистика;математическое программирование
spss;spss
нейросети;kaffe
